"","id","high_elo","high_per","high_vorp","high_bpm","high_ws48","high_days","high_home","low_elo","low_per","low_vorp","low_bpm","low_ws48","low_days","pts_diff"
"1",27183,1609.5878,72.7604166666667,6.1,2.32916666666667,0.6074375,2,0,1384.4106,69.575,1.83333333333333,-6.15208333333333,0.286375,2,-1
"2",27184,1673.521,86.2833333333333,11.5958333333333,10.5729166666667,0.761375,1,0,1515.5973,68.3916666666667,5.46666666666667,-0.0166666666666664,0.4213125,2,2
"3",27185,1367.994,92.04375,4.41458333333333,6.24375,0.62125,1,0,1238.9181,78.3416666666667,0.958333333333333,-12.3729166666667,0.2571875,1,3
"4",27186,1576.63,64.9666666666667,9.31458333333333,5.14375,0.5734375,1,0,1560.2144,74.525,5.69583333333333,0.433333333333333,0.563979166666667,1,-9
"5",27187,1536.0189,67.0520833333333,5.56041666666667,-2.06875,0.477833333333333,2,0,1534.4449,69.6041666666667,7.58958333333333,-0.0604166666666672,0.510645833333333,1,-18
"6",27188,1504.0508,69.2666666666667,5.47291666666667,-3.00625,0.395645833333333,1,0,1438.504,68.51875,1.59166666666667,-5.70625,0.336875,2,-2
"7",27189,1567.1846,73.2791666666667,5.75416666666667,0.0645833333333328,0.515145833333333,2,0,1563.2644,75.025,8.06041666666667,2.88333333333333,0.57225,2,-19
"8",27190,1551.0206,81.7729166666667,8.73541666666667,3.83333333333333,0.576416666666667,4,1,1467.7783,49.33125,1.93125,-3.73958333333333,0.291958333333333,3,-4
"9",27191,1470.1382,69.9375,6.56666666666667,-3.00625,0.365708333333333,1,0,1463.2179,69.85,3.66666666666667,-2.33333333333333,0.461020833333333,4,-23
"10",27192,1573.985,77.94375,9.51666666666667,5.14583333333333,0.618520833333333,2,1,1366.0275,73.4854166666667,4.29166666666667,-1.98958333333333,0.41325,1,12
"11",27193,1478.7714,52.0708333333333,2.24791666666667,-2.83125,0.319791666666667,1,0,1442.377,68.96875,4.17916666666667,-1.90625,0.384125,2,-6
"12",27194,1668.5001,87.6729166666667,12.575,12.6,0.773208333333333,1,0,1544.6676,75.0854166666667,9.50625,3.3625,0.572854166666667,4,-21
"13",27195,1717.3865,80.4791666666667,8.97083333333333,9.59375,0.712145833333334,1,0,1589.3964,80.2125,7.5,4.65208333333333,0.656333333333333,2,-17
"14",27196,1608.799,67.9479166666667,7.62916666666667,4.45625,0.542208333333333,2,1,1468.7653,72.48125,3.98125,-1.35833333333333,0.428958333333333,1,-4
"15",27197,1475.6337,72.2291666666667,3.57916666666667,-1.11875,0.486833333333333,2,1,1411.8928,65.8875,0.916666666666667,-9.6625,0.22725,2,-9
"16",27198,1480.1122,91.1166666666667,9.50416666666666,3.33958333333333,0.670645833333333,2,0,1325.1453,77.7458333333333,3.7,-3.93958333333333,0.482875,2,2
"17",27199,1650.0399,84.1583333333333,11.2354166666667,10.5166666666667,0.752604166666667,2,1,1540.0276,82.2791666666667,8.82916666666667,4.18958333333333,0.5935,3,5
"18",27200,1559.1514,78.0375,7.75625,3.4625,0.529770833333333,1,1,1510.1989,73.8666666666667,6.18125,1.69583333333333,0.518833333333333,1,-8
"19",27201,1481.2777,69.1083333333333,4.23333333333333,-2.2,0.420770833333333,2,1,1467.6024,71.7104166666666,7.34791666666667,-1.74166666666667,0.394979166666667,1,-5
"20",27202,1681.2046,84.8854166666667,14.0125,11.4145833333333,0.820458333333333,2,1,1477.4589,69.0875,3.8,-3.01041666666667,0.413333333333333,1,22
"21",27203,1613.4246,73.2875,8.81041666666667,6.73958333333333,0.5953125,3,1,1382.6602,66.0395833333333,0.885416666666667,-9.01666666666667,0.282729166666667,2,3
"22",27204,1616.8455,91.7395833333333,14.2583333333333,12.3270833333333,0.839729166666667,2,0,1481.1284,76.0125,8.42291666666667,0.53125,0.443541666666667,3,-2
"23",27205,1586.8831,77.6833333333333,9.1625,4.65208333333333,0.6184375,2,0,1541.7432,70.7333333333333,5.39791666666667,-0.410416666666667,0.496354166666667,2,-12
"24",27206,1690.1357,96.26875,11.875,13.7104166666667,0.8454375,2,0,1637.0765,84.6208333333333,11.34375,7.42916666666667,0.704375,2,-3
"25",27207,1523.9601,79.0208333333333,7.54166666666667,3.27291666666667,0.551979166666667,1,0,1328.6428,68.2645833333333,3.71875,-1.325,0.438833333333333,5,-10
"26",27208,1611.3619,78.1520833333334,10.1104166666667,4.61875,0.6825,2,0,1394.5538,71.65,2.6125,-6.58333333333333,0.290875,2,29
"27",27209,1472.1962,73.8666666666667,5.31458333333333,-1.275,0.472416666666667,2,0,1466.6581,77.1666666666667,4.53333333333333,1.14166666666667,0.561916666666667,2,11
"28",27210,1509.7567,68.0145833333333,5.73125,-3.45625,0.461708333333333,2,1,1337.7064,66.6333333333333,1.9,-6.27708333333333,0.302020833333333,2,20
"29",27211,1524.7604,67.84375,5.48541666666667,-2.14791666666667,0.468833333333333,2,1,1509.719,73.5854166666667,5.59583333333333,-0.347916666666667,0.516020833333333,2,39
"30",27212,1624.5492,87.7729166666667,13.6354166666667,10.60625,0.7921875,2,0,1529.2026,67.1229166666667,6.07708333333333,2.36666666666667,0.441958333333333,2,-7
"31",27213,1621.2882,82.275,10.2270833333333,8.29375,0.669479166666667,2,1,1478.7072,82.9979166666667,8.74791666666667,-0.266666666666667,0.46325,2,4
"32",27214,1514.4054,74.2416666666667,7.34375,0.210416666666666,0.5215625,2,1,1487.2687,73.7208333333333,4.69375,-2.3,0.456395833333333,2,16
"33",27215,1541.2844,79.05,7.54375,1.19166666666667,0.562416666666667,2,0,1447.704,84.7041666666667,5.13125,0.65,0.601854166666667,1,2
"34",27216,1705.7251,77.5104166666667,11.1833333333333,5.68958333333333,0.7143125,2,1,1623.3898,71.5104166666667,6.80833333333333,3.475,0.562520833333333,1,20
"35",27217,1476.6056,71.3541666666667,7.11666666666667,-3.28333333333333,0.360458333333333,1,1,1328.9288,71.3645833333333,2.29166666666667,-4.0875,0.36275,2,-5
"36",27218,1632.4419,90.1229166666667,14.475,12.0770833333333,0.811833333333333,1,0,1522.6945,80.1895833333333,8.95208333333333,4.50416666666667,0.576708333333333,2,9
"37",27219,1442.7574,84.275,5.15208333333333,0.841666666666666,0.599333333333333,2,0,1426.0016,56.6770833333333,1.80833333333333,-4.70208333333333,0.330229166666667,3,-7
"38",27220,1695.8978,81.8354166666666,9.73958333333333,9.18333333333333,0.713270833333333,2,1,1527.6548,67.56875,4.79375,-3.19375,0.470145833333333,2,7
"39",27221,1698.3351,74.4895833333333,7.72083333333333,6.01041666666667,0.683270833333333,1,0,1499.1174,76.3395833333333,7.34375,2.21666666666667,0.550625,1,5
"40",27222,1689.3896,82.1125,11.0291666666667,9.20416666666667,0.704645833333333,2,1,1373.9933,73.5208333333333,4.71666666666667,1.68958333333333,0.48,1,7
"41",27223,1703.0421,81.9916666666667,9.81666666666667,9.47916666666666,0.712833333333333,2,0,1432.0347,54.3208333333333,2.44791666666667,-4.16041666666667,0.315541666666667,3,5
"42",27224,1452.4553,74.3270833333333,7.45208333333333,-0.329166666666667,0.426229166666667,2,1,1372.9344,73.4708333333333,5.08541666666667,2.14166666666667,0.491166666666667,2,-3
"43",27225,1710.3123,91.2208333333333,16.2020833333333,14.63125,0.8939375,2,0,1680.1566,74.7583333333333,7.69791666666667,3.80416666666667,0.576145833333333,1,12
"44",27226,1641.8295,98.8729166666667,15.84375,13.4333333333333,0.902020833333333,6,1,1443.1675,79.3020833333333,4.475,-0.639583333333334,0.5290625,3,7
"45",27227,1589.7921,71.5416666666667,8.80833333333333,2.92708333333333,0.564520833333333,2,1,1500.3346,74.5916666666667,7.82708333333333,2.82083333333333,0.5265,2,13
"46",27228,1540.2377,69.3854166666667,5.96041666666667,1.49375,0.448979166666667,4,1,1382.5645,72.98125,4.61041666666667,1.11458333333333,0.482416666666667,2,4
"47",27229,1581.1184,83.14375,9,7.2125,0.710791666666667,3,0,1503.5074,74.3354166666667,6.23125,1.98958333333333,0.491395833333333,2,3
"48",27230,1643.8933,84.9166666666667,12.1583333333333,9.12916666666667,0.767958333333333,2,1,1458.3203,71.2875,2.34791666666667,-4.04583333333333,0.371979166666667,2,22
"49",27231,1707.5198,73.2708333333333,7.16458333333333,5.14791666666667,0.657104166666667,2,0,1477.5042,73.8791666666667,5.42083333333333,0.9625,0.4695,5,6
"50",27232,1542.4263,74.45,8.80833333333333,2.91041666666667,0.57525,1,0,1492.6725,75.8083333333333,5.90625,-0.2875,0.4848125,1,-7
"51",27233,1560.1501,80.6541666666667,12.1458333333333,8.36041666666667,0.7345,3,0,1529.7679,76.1770833333333,6.70625,1.91041666666667,0.498416666666667,1,-4
"52",27234,1453.7039,67.94375,1.94583333333333,-5.67916666666667,0.329020833333333,2,0,1359.1509,70.8958333333333,1.53958333333333,-6.63125,0.285208333333333,3,2
"53",27235,1528.8187,76.2354166666667,6.98541666666667,2.06041666666667,0.5665,2,1,1354.2218,67.7583333333333,1.775,-7.69583333333333,0.2611875,1,20
